REF_DATE,GEO,Initial entry status,VALUE
2010/2011,Provinces and territories,Custody and supervision (open),199
2010/2011,Provinces and territories,Young Offenders Act (YOA) (open),0
2010/2011,Provinces and territories,Total community sentences,9569
2010/2011,Provinces and territories,Intensive support and supervision,30
2010/2011,Provinces and territories,Deferred custody and supervision,227
2010/2011,Provinces and territories,Supervised probation,6522
2010/2011,Provinces and territories,Other community sentences,2790
2010/2011,Newfoundland and Labrador,Total correctional services,208
2010/2011,Newfoundland and Labrador,Pre-trial detention,12
2010/2011,Newfoundland and Labrador,Secure custody,3
2010/2011,Newfoundland and Labrador,Custody and supervision (secure),3
2010/2011,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2010/2011,Newfoundland and Labrador,Open custody,3
2010/2011,Newfoundland and Labrador,Custody and supervision (open),3
2010/2011,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2010/2011,Newfoundland and Labrador,Total community sentences,190
2010/2011,Newfoundland and Labrador,Intensive support and supervision,0
2010/2011,Newfoundland and Labrador,Deferred custody and supervision,3
2010/2011,Newfoundland and Labrador,Supervised probation,165
2010/2011,Newfoundland and Labrador,Other community sentences,22
2010/2011,Prince Edward Island,Total correctional services,55
2010/2011,Prince Edward Island,Pre-trial detention,28
2010/2011,Prince Edward Island,Secure custody,9
2010/2011,Prince Edward Island,Custody and supervision (secure),9
2010/2011,Prince Edward Island,Young Offenders Act (YOA) (secure),0
2010/2011,Prince Edward Island,Open custody,18
2010/2011,Prince Edward Island,Custody and supervision (open),18
2010/2011,Prince Edward Island,Young Offenders Act (YOA) (open),0
2010/2011,Prince Edward Island,Total community sentences,
2010/2011,Prince Edward Island,Intensive support and supervision,
2010/2011,Prince Edward Island,Deferred custody and supervision,
2010/2011,Prince Edward Island,Supervised probation,
2010/2011,Prince Edward Island,Other community sentences,
2010/2011,Nova Scotia,Total correctional services,
2010/2011,Nova Scotia,Pre-trial detention,
2010/2011,Nova Scotia,Secure custody,
2010/2011,Nova Scotia,Custody and supervision (secure),
2010/2011,Nova Scotia,Young Offenders Act (YOA) (secure),
2010/2011,Nova Scotia,Open custody,
2010/2011,Nova Scotia,Custody and supervision (open),
2010/2011,Nova Scotia,Young Offenders Act (YOA) (open),
2010/2011,Nova Scotia,Total community sentences,
2010/2011,Nova Scotia,Intensive support and supervision,
2010/2011,Nova Scotia,Deferred custody and supervision,
2010/2011,Nova Scotia,Supervised probation,
2010/2011,Nova Scotia,Other community sentences,
2010/2011,New Brunswick,Total correctional services,573
2010/2011,New Brunswick,Pre-trial detention,103
2010/2011,New Brunswick,Secure custody,1
2010/2011,New Brunswick,Custody and supervision (secure),1
2010/2011,New Brunswick,Young Offenders Act (YOA) (secure),0
2010/2011,New Brunswick,Open custody,2
2010/2011,New Brunswick,Custody and supervision (open),2
2010/2011,New Brunswick,Young Offenders Act (YOA) (open),0
2010/2011,New Brunswick,Total community sentences,467
2010/2011,New Brunswick,Intensive support and supervision,
2010/2011,New Brunswick,Deferred custody and supervision,16
2010/2011,New Brunswick,Supervised probation,343
2010/2011,New Brunswick,Other community sentences,108
2010/2011,Quebec,Total correctional services,
2010/2011,Quebec,Pre-trial detention,
2010/2011,Quebec,Secure custody,
2010/2011,Quebec,Custody and supervision (secure),
2010/2011,Quebec,Young Offenders Act (YOA) (secure),
2010/2011,Quebec,Open custody,
2010/2011,Quebec,Custody and supervision (open),
2010/2011,Quebec,Young Offenders Act (YOA) (open),
2010/2011,Quebec,Total community sentences,
2010/2011,Quebec,Intensive support and supervision,
2010/2011,Quebec,Deferred custody and supervision,
2010/2011,Quebec,Supervised probation,
2010/2011,Quebec,Other community sentences,
2010/2011,Ontario,Total correctional services,7471
2010/2011,Ontario,Pre-trial detention,2855
2010/2011,Ontario,Secure custody,32
2010/2011,Ontario,Custody and supervision (secure),32
2010/2011,Ontario,Young Offenders Act (YOA) (secure),
2010/2011,Ontario,Open custody,51
2010/2011,Ontario,Custody and supervision (open),51
2010/2011,Ontario,Young Offenders Act (YOA) (open),0
2010/2011,Ontario,Total community sentences,4533
2010/2011,Ontario,Intensive support and supervision,3
2010/2011,Ontario,Deferred custody and supervision,113
2010/2011,Ontario,Supervised probation,4352
2010/2011,Ontario,Other community sentences,65
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,
2010/2011,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,
2010/2011,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
2010/2011,Manitoba,Total correctional services,4237
2010/2011,Manitoba,Pre-trial detention,2003
2010/2011,Manitoba,Secure custody,108
2010/2011,Manitoba,Custody and supervision (secure),107
2010/2011,Manitoba,Young Offenders Act (YOA) (secure),0
2010/2011,Manitoba,Open custody,105
2010/2011,Manitoba,Custody and supervision (open),105
2010/2011,Manitoba,Young Offenders Act (YOA) (open),0
2010/2011,Manitoba,Total community sentences,2021
2010/2011,Manitoba,Intensive support and supervision,
2010/2011,Manitoba,Deferred custody and supervision,79
2010/2011,Manitoba,Supervised probation,1024
2010/2011,Manitoba,Other community sentences,918
2010/2011,Saskatchewan,Total correctional services,
2010/2011,Saskatchewan,Pre-trial detention,
2010/2011,Saskatchewan,Secure custody,
2010/2011,Saskatchewan,Custody and supervision (secure),
2010/2011,Saskatchewan,Young Offenders Act (YOA) (secure),
2010/2011,Saskatchewan,Open custody,
2010/2011,Saskatchewan,Custody and supervision (open),
2010/2011,Saskatchewan,Young Offenders Act (YOA) (open),
2010/2011,Saskatchewan,Total community sentences,
2010/2011,Saskatchewan,Intensive support and supervision,
2010/2011,Saskatchewan,Deferred custody and supervision,
2010/2011,Saskatchewan,Supervised probation,
2010/2011,Saskatchewan,Other community sentences,
2010/2011,Alberta,Total correctional services,1964
2010/2011,Alberta,Pre-trial detention,1912
2010/2011,Alberta,Secure custody,39
2010/2011,Alberta,Custody and supervision (secure),39
2010/2011,Alberta,Young Offenders Act (YOA) (secure),
2010/2011,Alberta,Open custody,13
2010/2011,Alberta,Custody and supervision (open),13
2010/2011,Alberta,Young Offenders Act (YOA) (open),
2010/2011,Alberta,Total community sentences,
2010/2011,Alberta,Intensive support and supervision,
2010/2011,Alberta,Deferred custody and supervision,
2010/2011,Alberta,Supervised probation,
2010/2011,Alberta,Other community sentences,
2010/2011,British Columbia,Total correctional services,2341
2010/2011,British Columbia,Pre-trial detention,139
2010/2011,British Columbia,Secure custody,3
2010/2011,British Columbia,Custody and supervision (secure),3
2010/2011,British Columbia,Young Offenders Act (YOA) (secure),
2010/2011,British Columbia,Open custody,6
2010/2011,British Columbia,Custody and supervision (open),6
2010/2011,British Columbia,Young Offenders Act (YOA) (open),
2010/2011,British Columbia,Total community sentences,2193
2010/2011,British Columbia,Intensive support and supervision,26
2010/2011,British Columbia,Deferred custody and supervision,15
2010/2011,British Columbia,Supervised probation,503
2010/2011,British Columbia,Other community sentences,1649
2010/2011,Yukon,Total correctional services,52
2010/2011,Yukon,Pre-trial detention,20
2010/2011,Yukon,Secure custody,0
2010/2011,Yukon,Custody and supervision (secure),0
2010/2011,Yukon,Young Offenders Act (YOA) (secure),
2010/2011,Yukon,Open custody,0
2010/2011,Yukon,Custody and supervision (open),0
2010/2011,Yukon,Young Offenders Act (YOA) (open),
2010/2011,Yukon,Total community sentences,32
2010/2011,Yukon,Intensive support and supervision,1
2010/2011,Yukon,Deferred custody and supervision,1
2010/2011,Yukon,Supervised probation,10
2010/2011,Yukon,Other community sentences,20
2010/2011,Northwest Territories including Nunavut,Total correctional services,
2010/2011,Northwest Territories including Nunavut,Pre-trial detention,
2010/2011,Northwest Territories including Nunavut,Secure custody,
2010/2011,Northwest Territories including Nunavut,Custody and supervision (secure),
2010/2011,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2010/2011,Northwest Territories including Nunavut,Open custody,
2010/2011,Northwest Territories including Nunavut,Custody and supervision (open),
2010/2011,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2010/2011,Northwest Territories including Nunavut,Total community sentences,
2010/2011,Northwest Territories including Nunavut,Intensive support and supervision,
2010/2011,Northwest Territories including Nunavut,Deferred custody and supervision,
2010/2011,Northwest Territories including Nunavut,Supervised probation,
2010/2011,Northwest Territories including Nunavut,Other community sentences,
2010/2011,Northwest Territories,Total correctional services,70
2010/2011,Northwest Territories,Pre-trial detention,8
2010/2011,Northwest Territories,Secure custody,2
2010/2011,Northwest Territories,Custody and supervision (secure),2
2010/2011,Northwest Territories,Young Offenders Act (YOA) (secure),
2010/2011,Northwest Territories,Open custody,0
2010/2011,Northwest Territories,Custody and supervision (open),0
2010/2011,Northwest Territories,Young Offenders Act (YOA) (open),
2010/2011,Northwest Territories,Total community sentences,60
2010/2011,Northwest Territories,Intensive support and supervision,0
2010/2011,Northwest Territories,Deferred custody and supervision,0
2010/2011,Northwest Territories,Supervised probation,60
2010/2011,Northwest Territories,Other community sentences,
2010/2011,Nunavut,Total correctional services,102
2010/2011,Nunavut,Pre-trial detention,23
2010/2011,Nunavut,Secure custody,5
2010/2011,Nunavut,Custody and supervision (secure),5
2010/2011,Nunavut,Young Offenders Act (YOA) (secure),
2010/2011,Nunavut,Open custody,1
2010/2011,Nunavut,Custody and supervision (open),1
2010/2011,Nunavut,Young Offenders Act (YOA) (open),
2010/2011,Nunavut,Total community sentences,73
2010/2011,Nunavut,Intensive support and supervision,
2010/2011,Nunavut,Deferred custody and supervision,
2010/2011,Nunavut,Supervised probation,65
2010/2011,Nunavut,Other community sentences,8
2011/2012,Provinces and territories,Total correctional services,16613
2011/2012,Provinces and territories,Pre-trial detention,7281
2011/2012,Provinces and territories,Secure custody,218
2011/2012,Provinces and territories,Custody and supervision (secure),205
2011/2012,Provinces and territories,Young Offenders Act (YOA) (secure),4
2011/2012,Provinces and territories,Open custody,218
2011/2012,Provinces and territories,Custody and supervision (open),211
2011/2012,Provinces and territories,Young Offenders Act (YOA) (open),7
2011/2012,Provinces and territories,Total community sentences,8896
